tweet_id, user_id
'505024951376543744','112214751'
'505024979361353729','22315805'
'505025001188524033','1231482655'
'505025092875993088','98692001'
'505025167106781184','1605883268'
'505025337915621376','1887279936'
'505025404760260610','1431583028'
'505025407783944192','38753'
'505025597173534720','33611919'
'505026406020292608','2522828272'
'505026690951557122','49982585'
'505026834061213696','333342914'
'505026840441131008','249893348'
'505026999845679104','1275955644'
'505027015087755264','442214294'
'505027059648040960','26083478'
'505027094116827136','1306881302'
'505027130498228225','96463568'
'505027131823652865','2577687492'
'505027158335832064','1893394914'
'505027175893196800','2742354139'
'505027195174416385','2512075712'
'505027219060568064','1348108910'
'505027250690220032','178363987'
'505027290451812352','494449993'
'505027301936226304','107164467'
'505027318914764800','2421822554'
'505027455522856960','25098431'
'505027573114732545','36043795'
'505027574872145920','565623639'
'505027762638176257','2512779439'
'505027856238673920','953695980'
'505027943962144768','23760311'
'505027990867431424','953695980'
'505028058659966976','1848987548'
'505028091681325057','1463939642'
'505028114502938624','384986958'
'505028240855932928','2574949748'
'505028359886495744','1926562094'
'505028368652582912','47091019'
'505028388537761792','36685151'
'505028472566059008','552817911'
'505028501368365056','2280271664'
'505028648903397376','1326593725'
'505028659854712833','255769626'
'505028782881660928','40220962'
'505028790427602944','600388116'
'505028828834848768','2706576491'
'505028956052271104','953695980'
'505029019239464960','1525723932'
'505029066349477888','2484686599'
'505029139397894145','21147561'
'505029269685551104','314591693'
'505029463571046402','2516171923'
'505029664445038592','233158352'
'505029729859416064','89236450'
'505029735823728640','380604763'
'505029747521630208','1490327988'
'505030060978753537','751500739'
'505030260082356224','75106875'
'505030338838818816','47222549'
'505030389275299840','276631250'
'505030547870322688','14396029'
'505030768260050944','26589498'
'505030834215063552','52404631'
'505030898233118721','1430404999'
'505030918395162626','953695980'
'505031031045758977','754571738'
'505031153045086209','65832481'
'505031256351182849','953695980'
'505031324843769857','38359576'
'505031439142764544','2598570470'
'505031624338440192','2421822554'
'505031734564376576','388272317'
'505031764524294144','2598570470'
'505031825182298112','2205461977'
'505031833596485632','2170378830'
'505032034415173632','21585327'
'505032045685653504','14445444'
'505032125460926465','502076105'
'505032139990372353','2244754026'
'505032156339765249','143235546'
'505032158306525185','91180118'
'505032162387582977','1409552341'
'505032190007062529','18453099'
'505032271154270208','1344108302'
'505032313940738049','201752470'
'505032379618955264','65832481'
'505032511337283585','597996609'
'505032632376508416','384986958'
'505032636012576768','368340567'
'505032669751558145','796947668'
'505032679918944256','22709719'
'505032689246674944','11584222'
'505032760923144192','143170703'
'505032778325311488','143170703'
'505032821631488000','16136540'
'505032909086920704','1463939642'
'505032948656394240','1425858126'
'505032963600691201','2752902224'
'505032990481997825','1281685105'
'505032992210042880','201752470'
'505033037206548481','1633008624'
'505033099340570625','24488181'
'505033124065972224','247881053'
'505033257826914304','395856567'
'505033296204791808','1833849625'
'505033614438838272','2776657974'
'505033684043309057','1420660507'
'505033881557688321','1425761011'
'505033948918218753','2578406135'
'505034002013900801','22709719'
'505034040819200000','21581503'
'505034087216599040','1700087322'
'505034108616310784','2331765607'
'505034248022425600','55547487'
'505034279546806273','25002819'
'505034376229711873','163437841'
'505034465622495232','23983926'
'505034499663859712','179559344'
'505034551320518657','1322208427'
'505034778027233280','1348324974'
'505034818879754240','1357422229'
'505034838357716992','1400360023'
'505034948144017408','2580318007'
'505034999712976896','107100041'
'505035000530468864','1463939642'
'505035374746697728','28630846'
'505035716913819648','39803142'
'505035819485503488','701585850'
'505035903350231040','30062091'
'505035965568909312','2204899008'
'505035977170374657','1501230402'
'505036084401561601','1463939642'
'505036087828709376','2747922359'
'505036131269103616','40662499'
'505036201783730176','486990466'
'505036225796145152','73626367'
'505036323812413441','482869950'
'505036405358473216','489549161'
'505036465450270720','14105953'
'505036582924345344','753928304'
'505036610468339713','1668675018'
'505036813099335680','248796980'
'505036826328203265','612287877'
'505036901804281856','132632232'
'505036931580063745','1254271723'
'505037053948866560','133472694'
'505037081513848832','1926817705'
'505037097154408450','68676678'
'505037185372798976','2493599174'
'505037218629439488','36949002'
'505037295565942784','238278490'
'505037342630236160','44171944'
'505037380995530753','1069092667'
'505037419394367488','20460309'
'505037457818390528','2685645662'
'505037596141973504','989878620'
'505037651163222016','47588815'
'505037767584526336','1929992100'
'505037864967491584','989878620'
'505037929606283265','40533128'
'505038014389551104','2543352686'
'505038114360811522','2280271664'
'505038233118736385','14179736'
'505038255793139713','744474864'
'505038259446378496','16080891'
'505038286142722048','58204531'
'505038400320438272','2170378830'
'505038407572398080','2421822554'
'505038514430693376','1357422229'
'505038666037997568','44852111'
'505038744424968192','58204531'
'505038840713596928','56378585'
'505038889132630016','559378507'
'505039086822768640','17383707'
'505039098164551680','953695980'
'505039262426087425','98595881'
'505039264615514112','34670424'
'505039314255097856','2240567468'
'505039368315502592','596246297'
'505039466541895680','20582040'
'505039569117790208','34670424'
'505039636239237120','2605061959'
'505039660855590912','980960875'
'505039838371131392','34670424'
'505039863788613633','34670424'
'505039882432307201','108861070'
'505039961343926272','34670424'
'505039969484685312','563760715'
'505040205712084992','50460554'
'505040253879869440','2421822554'
'505040407886303233','1398391764'
'505040432590782464','220223791'
'505040441419386880','314144211'
'505040585208520704','144703320'
'505040639755816960','551377994'
'505040665831821313','18321051'
'505040853862461440','485056713'
'505041006413094913','2685516510'
'505041087124475904','409197847'
'505041127045869568','241992967'
'505041147090059264','808685023'
'505041222713753600','61510388'
'505041248655527939','17285310'
'505041253021806593','278548407'
'505041300438401024','1167607994'
'505041477870039040','6735'
'505041508727549953','551377994'
'505041536984563712','2284959011'
'505041644732022787','104821646'
'505041675501051904','2579242226'
'505041959002857474','16944926'
'505042048932921344','2284959011'
'505042166285357059','20926446'
'505042227782254594','2170378830'
'505042305246855169','953695980'
'505042338994216960','953695980'
'505042366097399808','953695980'
'505042385068638208','953695980'
'505042448897159168','2688140576'
'505042453913944064','20926446'
'505042572776321024','20926446'
'505042581089419264','20926446'
'505042627280912384','26898699'
'505042637523386368','1014130489'
'505042734470946817','20926446'
'505042745459613696','95635644'
'505042745426477056','20926446'
'505042783863046144','517377534'
'505042879233159169','636967101'
'505042961252757504','774408049'
'505043050104905730','296315927'
'505043117251526656','14799078'
'505043156304666625','60070486'
'505043159907581952','1324867704'
'505043161807585280','30694918'
'505043393735827456','46669061'
'505043419149135873','21391890'
'505043437570502656','21391890'
'505043606378651650','1281685105'
'505043631980675072','291732965'
'505043639752728577','558730284'
'505043685160284160','23342322'
'505043830895550464','39136707'
'505043861509787648','1281685105'
'505043909383585792','23216412'
'505043925141172224','1530241524'
'505044181413539840','700968630'
'505044262715916289','229760365'
'505044287621718016','953695980'
'505044356588634113','31167101'
'505044500666789888','2509199875'
'505044591369027584','8748672'
'505044713670717440','129019194'
'505044715117375488','2422765340'
'505044720180285441','1281685105'
'505044834605105153','968976661'
'505044845451571200','953695980'
'505044936182333440','1697097895'
'505045033368563712','175604092'
'505045070995664896','1697097895'
'505045072321445888','1398391764'
'505045124213006337','7080552'
'505045224708919297','38520816'
'505045298616758272','94051508'
'505045412257234945','37911772'
'505045497166303232','309843971'
'505045508285825026','33540499'
'505045530058047488','2349040381'
'505045540774903808','2753489003'
'505045667719307264','43313525'
'505045778503462913','50300013'
'505045794886410240','19390368'
'505045854898880512','547926326'
'505045929083539456','298778557'
'505045968937447424','208854986'
'505046035710742528','236268614'
'505046079906537473','2585523085'
'505046286740234241','38520816'
'505046316045455360','299676120'
'505046404717613057','499534397'
'505046423692656640','250407945'
'505046495285227520','409335804'
'505046497088782336','2170378830'
'505046521763860481','2327500422'
'505046541581942785','349204130'
'505046556592979968','2280271664'
'505046674235207680','953695980'
'505046694090649600','1697097895'
'505046694938292224','953695980'
'505046804061519872','499534397'
'505046844721086466','335232940'
'505046852299792384','2613891942'
'505046858818134018','404256548'
'505046897686765568','562255608'
'505046915252117504','52681900'
'505046917038886912','282488407'
'505046938459197440','1405376556'
'505046967593218049','103720594'
'505047054188834817','499534397'
'505047115161423872','953695980'
'505047123210285057','404496414'
'505047186800132096','1848987548'
'505047259416133632','279118291'
'505047296216547328','2359175886'
'505047332573171712','118806627'
'505047375690203137','279693021'
'505047400088481792','65832481'
'505047405726023682','953695980'
'505047483915849728','209261985'
'505047495580594177','404496414'
'505047506619600896','2773345938'
'505047644524535808','141579532'
'505047734374903809','2704996866'
'505047784819785729','118349746'
'505047891162177536','183557527'
'505048004941062144','1525723932'
'505048155981750272','279118291'
'505048177641541632','129019194'
'505048307224559616','1351326576'
'505048311964127232','2314360662'
'505048474052603904','86120981'
'505048541304455169','2340633295'
'505048595025104896','2742354139'
'505048715271626753','168346849'
'505048770208202752','957488906'
'505048782846050304','499534397'
'505049245427064832','190688260'
'505049825365487616','2576836890'
'505049902385086464','65832481'
'505049997306380288','46899351'
'505050207714045952','184293744'
'505050299657371649','2576836890'
'505050308364750848','499534397'
'505050341113470976','309354743'
'505050492704399360','2742354139'
'505050603396276224','1420660507'
'505050605639843841','1658575568'
'505050607107837952','334626794'
'505050702172135424','499534397'
'505050718378942464','376775407'
'505050728474222593','160087494'
'505050862238986240','2769866904'
'505050868073660417','2218836026'
'505051033362382848','2399902512'
'505051080904814592','919927818'
'505051142435659776','2218836026'
'505051157065367552','2576836890'
'505051184827490306','733251096'
'505051191928438784','318358387'
'505051218368921600','919927818'
'505051279476137984','968640829'
'505051325126938624','1351326576'
'505051379077877760','208886050'
'505051393049100288','190688260'
'505051752907812864','2570943926'
'505051781165228034','46847649'
'505051865646903297','13477342'
'505051952422875137','953695980'
'505051994529468416','2218836026'
'505051995116683264','953695980'
'505052026095796225','953695980'
'505052043640582146','953695980'
'505052062691110912','499534397'
'505052101295079424','213521922'
'505052103597756416','1557955166'
